title,overview,release_date,runtime,genres,poster,vote_average,popularity,category
7급 공무원,"아침엔 강화도, 점심엔 울릉도?! 그녀를 의심하라!  여행사 직원으로 위장한 경력 6년차 국가정보원 요원 ‘수지’.  과거는 밝혀도 정체만은 밝힐 수 없는 직업 특성상 남친 ‘재준’에게 조차 거짓말을 밥 먹듯 하다 일방적인 이별을 통보 받는다. 말도 없이 떠나버린 재준에 대한 서운함과 괘씸함에 몸부림 치던 그녀. 3년 뒤, 청소부로 위장한 채 산업 스파이를 쫓던 중 재준과 우연히 다시 마주치게 된다! 국제 회계사가 되어 나타난 재준. 그를 보자 수지의 마음은 다시 흔들리는데…  나 평범한 회계사 아니야!? 그를 의심하라!  오랜 연인 수지의 반복되는 수상한 거짓말에 지친 ‘재준’.  한국을 떠난다는 전화 한 통으로 이별을 통보하고 러시아로 유학을 떠난다. 3년 뒤 국제회계사로 신분을 위장하고 국가정보원 해외파트 소속 요원이 되어 돌아온 재준. 깨지기 일쑤, 실수 연발의 신참이지만 의욕만은 넘치는 재준은 현장투입 첫 임무로 러시아 조직을 미행하던 중 우연히 수지와 마주친다! 호텔 청소부가 되어 있는 그녀의 모습이 쇼킹하지만 애틋한 마음만은 여전한데…  비밀 많은 커플의 스릴 넘치는 대결이 시작된다!  그들이 각각 쫓던 타겟은 국내 기술을 해외로 빼돌리려는 같은 사건의 인물들! 이 사실을 모르는 수지와 재준은 임무수행마다 사사건건 맞닥뜨리는 서로의 정체를 의심하기 시작하는데…!",2009-04-04,112,"액션, 코미디, 로맨스",https://image.tmdb.org/t/p/w500/78Vin0vhu8HJKJCQIPSuynpceun.jpg,6.267,2.2159,MOVIE
7년의 밤,"인적이 드문 세령마을의 댐 관리팀장으로 부임을 앞둔 최현수. 가족이 지낼 사택을 보러 가는 날, 안개가 짙게 깔린 세령마을 입구에서 길을 잃고 헤매던 중 갑자기 뛰어나온 여자 아이를 쳐 교통사고를 낸다. 너무 놀란 최현수는 한 순간의 잘못된 선택으로 호수에 아이를 유기한다. 아이의 실종으로 마을은 발칵 뒤집혀 수색 작업이 시작되고, 결국 싸늘한 주검으로 돌아온 딸을 보자 광기 어린 분노에 사로잡힌, 마을 대지주이자 아이의 아버지 오영제. 사고가 아니라 사건이라고 판단한 그는 직접 범인을 찾기 위해 증거를 모으기 시작한다.",2018-03-28,123,"스릴러, 액션, 드라마",https://image.tmdb.org/t/p/w500/mlGD4s8PbDjpUfX2xvdduZ3WVcH.jpg,5.783,1.3427,MOVIE
7번방의 선물,최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 용구. 평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 용구 딸 예승이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,2013-01-23,127,"드라마, 코미디",https://image.tmdb.org/t/p/w500/c9TqJPm4pZCuiEXumTayoNIrBSK.jpg,7.896,3.3565,MOVIE
7호실,"서울의 망해가는 DVD방 사장 두식. 학자금 빚을 갚으려 DVD방에서 일하는 알바생 태정. 팔리지도 않던 가게에 기적처럼 매수자가 나타난 바로 그 때! 예상치 못한 사고가 일어나고, 두식은 시체를 7호실에 숨겨 봉쇄한다. 한편, 빚을 해결해주는 조건으로 마약을 7호실에 잠시 감춰놨던 태정은 늘 열려있던 그 방의 문을 두식이 갑자기 잠가버리자 당황하는데…",2017-11-15,100,"코미디, 스릴러",https://image.tmdb.org/t/p/w500/tE9fWJlVdilAwam2s7dlAVfTgHz.jpg,6.6,1.7277,MOVIE
82년생 김지영,"1982년 봄에 태어나 누군가의 딸이자 아내, 동료이자 엄마로 오늘을 살아가는 지영. 때론 어딘가 갇힌 듯 답답하기도 하지만 남편 대현과 사랑스러운 딸, 그리고 자주 만나지 못해도 항상 든든한 가족들이 지영에겐 큰 힘이다. 하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 지영. 대현은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고 지영은 이런 대현에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…",2019-10-23,118,드라마,https://image.tmdb.org/t/p/w500/ygVOfJil1E7Wx4QbzOWjwcH67az.jpg,7.427,2.3082,MOVIE
Mr. 로빈 꼬시기,"외국계 M&A회사에 근무하는 민준, 늘 앞서가는 패션과 쿨한 성격으로 일과 사랑에서 모두 성공한 매력녀. 그런 그녀가 남자친구와의 멋진 휴가를 기대하며 도착한 홍콩에서 처절히 바람을 맞는데… 알고 보니 그녀는 밀고 당기는 연애 타이밍을 못 맞추는 연애성공률 '제로'의 안타까운 기록보유자. 실연의 여운도 잠시, 출근 날 아침 어이없는 교통사고를 내고 만다. 상대는 바로 럭셔리 슈트 차림의 로빈 헤이든. 민준은 차 수리비를 요구하는 그에게서 도망가려 갖은 잔꾀를 부리나 그녀보다 한 수 위인 로빈, 단숨에 핸드폰 카메라로 증거확보를 하고는 유유히 사라진다. 뭔가 찜찜하고 억울한 민준, 그런 그녀 앞에 다시 나타난 이 퍼펙트 가이, 바로 그녀 회사에 새로 부임한 CEO!! 외국인이면 어떠랴? 하버드대 로스쿨에 MBA출신, 5개 국어에 능통한 수재의 M&A전문가, 게다가 조각 같은 8등신 몸매에 영화배우 뺨 치는 수려한 외모까지 여직원들은 전격 작업모드에 돌입하나 첫만남부터 꼬인 민준, 그를 피하려 하지만 새 프로젝트의 어시스턴트로 기용되어 사사건건 태클이 걸리고 만다. 잘난 그남자, 그녀의 어설픈 연애테크닉을 비웃으며 던진 한마디""어디 나부터 한번 꼬셔보시지?"" 완전 자존심 상한 민준, 그녀의 참을성은 한계에 다다르고 그녀의 야심찬 프로젝트는 이렇게 시작된다.",2006-12-07,107,"로맨스, 코미디",https://image.tmdb.org/t/p/w500/4gAWWuY8epYNSLMoTWV9pAnqnpX.jpg,6,1.9926,MOVIE
PMC: 더 벙커,"글로벌 군사기업(PMC) 블랙리저드의 캡틴 에이헵은 미국 CIA의 의뢰로 거액의 프로젝트를 맡게 된다. 그러나 작전장소인 DMZ 지하 비밀벙커에는 약속된 타깃이 아닌 뜻밖의 인물, 북한 킹이 나타난다. 아시아 최고의 현상금이 걸린 킹, 그를 잡기 위해 캡틴 에이헵은 작전을 변경하고, 12인의 크루들과 함께 킹을 납치하는 데 성공한다. 하지만 또 다른 군사기업(PMC)의 기습과 미국 CIA의 폭격으로 함정에 빠져버린 에이헵과 블랙리저드팀. 결국 무너져버린 지하 비밀 벙커 안 부상을 입은 에이헵은 인질로 잡혀 있던 북한 최고의 엘리트 닥터 윤지의에게 도움을 요청하는데...",2018-12-26,124,"액션, 스릴러",https://image.tmdb.org/t/p/w500/wFT385EamvefX5pbE54ol5i01AA.jpg,6.899,1.9003,MOVIE
R2B: 리턴 투 베이스,"공군 특수 비행팀 블랙이글스의 조종사 태훈은 에어쇼에서 금지 비행 기술인 제로노트를 감행하다 행사를 난장판으로 만들고, 팀에서 퇴출당한다. 대서가 편대장으로 있는 21전투비행단으로 이적된 태훈은 동기생 유진과 후배 석현을 만나 차츰 적응해가지만, 비행단 내 탑건으로 불리는 철희와는 사사건건 부딪힌다. 두 사람의 명예를 건 F15K 비행 대결에서 생애 처음으로 패배를 맛본 태훈은, 정비대대 최고의 에이스 정비사 세영과 팀을 이뤄 보라매 공중사격대회에서 자존심을 회복하고자 한다. 남북간에 평화 분위기가 무르익고 있던 어느날, 귀순을 가장한 적기 한대가 서울까지 내려와 초계비행중인 21 전투비행단과 예상치 못한 교전을 벌이게 된다. 엄청난 대가를 치루며 평화를 지켜내지만, 이는 한반도 전체를 위협하는 거대한 음모의 시작이었을뿐. 이에 21 전투비행단은 최후의 비공식작전 리턴투베이스를 개시하는데…",2012-08-15,113,"액션, 드라마, 로맨스",https://image.tmdb.org/t/p/w500/oKUdC09BkFp9fsi5bOvAQ3nTrFS.jpg,6.628,1.6235,MOVIE
가려진 시간,"엄마를 잃은 후 새 아빠와 함께 화노도로 이사 온 수린. 자신만의 공상에 빠져 홀로 지내는 수린에게 성민이 먼저 다가온다. 둘만의 암호로, 둘만의 공간에서, 둘만 아는 추억을 쌓아가는 그들. 어느 날, 공사장 발파 현장을 구경하기 위해 친구들과 산으로 가고 그곳에서 모두가 실종된 채, 유일하게 수린만 돌아온다. 그리고 며칠 뒤, 자신이 성민이라는 남자가 수린 앞에 나타난다. ‘멈춰진 시간’에 갇혀 어른이 되었다는 성민. 수린만이 성민을 믿어주는 가운데  경찰과 마을 사람들은 의심을 거두지 못하고 성민은 쫓기는 상황에 이르게 되는데…",2016-11-10,129,"판타지, 드라마",https://image.tmdb.org/t/p/w500/exZ5ZdhaRGWA34tK8KyeMvr8k6o.jpg,7.195,2.4358,MOVIE
가루지기,"음양의 불일치로 기센 아낙네들이 주도권을 잡은 마을, 떡장수를 하는 청년 강쇠는 밤일 제대로 하는 남정네 하나 없는 마을에서도 단연 부실 랭킹 1위! 온 마을 아낙네들의 놀림거리로 살아간다. 그러던 강쇠의 굴욕인생에 어느 날 일생일대의 사건이 일어났으니!  우연히 만난 음양통달 도사님에게 비책을 전해 듣고 500% 가득 찬 양기로 돌아온 변강쇠!!! 졸지에 마을 최고 완소남으로 변신한 강쇠는 천지를 뒤흔드는 막강파워로 아낙네들은 물론 온 동네 동물들마저 놀라게 만드는 상상초월 활약을 펼친다. 이제 그 앞에 펼쳐진 것은 온갖 산해진미를 싸들고 줄을 선 아낙네들의 들이대기 러시와 조선 방방곡곡에서 쏟아지는 스포트라이트!  조선 최고의 거물로 인생역전에 성공한 강쇠, 그러나 마냥 행복할 것만 같던 그의 앞날에 감당할 수 없는 큰 시련이 다가오는데…",2008-04-30,120,"코미디, 판타지, 드라마",https://image.tmdb.org/t/p/w500/35sluk2cRZsDHzn0jSIK3SfSrlg.jpg,5.7,5.0681,MOVIE
가문의 영광,"준수한 외모에 서울 법대를 졸업한 엘리트 사업가 박대서. 어느 날 생판 모르는 여자 장진경과 침대에서 잠이 깬 뒤 화들짝 놀란다. 함께 잠자리에 든 기억이 전혀 없는 이 여자, 알고 보니 전남 여수에서 한가닥 하는 집안의 고명딸이다. 이제 대서는 구석에 몰린 생쥐나 다름없다. 진경의 아버지와 세 오빠가 둘을 결혼시키기 위해 물불을 가리지 않고 덤벼들기 때문이다. 모든 걸 다 갖췄지만 무식이 뚝뚝 흐르는 이 집안 사람들은 학벌 좋은 대서를 사위로 맞이해 가문의 영광을 되살리려 한다.",2002-09-13,115,"코미디, 액션, 범죄",https://image.tmdb.org/t/p/w500/cO1WTpRse2Cd3WNlWHmKNVh1Ok0.jpg,6.089,1.1295,MOVIE
가문의 영광 2: 가문의 위기,"최고 명문家 백호파의 대모 홍덕자 여사! 조직은 조직대로 무럭무럭 크고, 슬하의 세 아들은 나름 믿음직하다. 그러나 반드시 이룩해야 할 단 하나의 과제가 남아 있었으니, 가문의 체질개선을 위한 엘리트 며느리 모시기! 홍여사는 세 아들에게 자신의 환갑잔치 때까지 무조건 큰 며느리감을 데려오라는 명령을 내린다. 며느리감 물색에 나선 세 아들, 드디어 어디 내놔도 안 부끄러울 며느리 감을 발견했단다. 근데 며느리 될 아이가 강력계 검사라고라고라? 가문의 영광을 이루려다 가문이 위태롭게 생겼다. 과연 홍여사와 세 아들은 엘리트 며느리 모시기에 성공할 수 있을 것인가?",2005-09-07,115,"코미디, 범죄, 액션, 로맨스",https://image.tmdb.org/t/p/w500/iJiSJ1y5P2CoVDFqzzpmBltTxc2.jpg,5.625,2.347,MOVIE
가벼운 잠,"편안한 잠을 갈망하는 한 소녀의 성장통. 꿈과 현실 사이에서의 방황, 그리고 선택.. 16살 열린이는 잠이 오지 않아 가끔 약을 먹는다. 피곤한데도 잠은 오지 않는다. 아마 2년전 부모님을 교통사고로 한꺼번에 잃고 의대 실험용으로 넘겨진 엄마의 시신을 찾고 하나뿐인 동생을 위해 원조교제를 시작한 그 때부터일꺼다. 얼마전 멋진 남자 친구가 생겼다. 평범한 데이트도 했다. 모든 게 일상적이고 평범해 보인다. 그렇지만 그 뒤엔 16살 소녀가 감당하기엔 너무나 벅찬 현실이 늘 존재할 뿐….",2008-10-23,93,드라마,https://image.tmdb.org/t/p/w500/shLC6H13RXlPoIt7O2hk3yQuSe5.jpg,6.6,1.7191,MOVIE
가비,"1896년, 고종이 러시아 공사관으로 피신해 대한제국을 준비하던 혼돈의 시기, 러시아 대륙에서 커피와 금괴를 훔치다 러시아군에게 쫓기게 된 일리치와 따냐는, 조선계 일본인 사다코의 음모로 조선으로 오게 된다.  고종의 곁에서 커피를 내리는 조선 최초의 바리스타가 된 따냐, 그녀를 지키기 위해 사카모토란 이름으로 스파이가 된 일리치, 그들은 사다코로 인해 은밀한 고종암살작전에 휘말리게 되는데…",2012-03-15,115,드라마,https://image.tmdb.org/t/p/w500/xrwdk2590u5KmUTyD3d6G5O3dMf.jpg,6.3,1.0651,MOVIE
가시,"여자고등학교에서 체육을 가르치는 준기는 학교에서 가장 인기 많은 선생님이다. 준기는 아이들이 도가 지나친 장난을 해도 적당히 받아넘기며 교사와 제자의 거리를 지킨지만 다른 아이들과 차원이 다른 영은의 적극적인 질문에는 말문이 막힌다. 폭우가 쏟아지던 어느 날 방과 후, 우연히 영은과 준기만 텅 빈 학교에 남게 된다. 영은에게 끌리는 본능적인 욕망을 가까스로 다스리던 준기는 잠시 이성을 잃고 영은의 유혹에 넘어간다. 준기는 순찰을 돌던 경비원의 발소리에 정신을 차리지만, 이 일을 빌미로 영은은 준기를 옥죄기 시작한다.",2014-04-10,117,"스릴러, 로맨스",https://image.tmdb.org/t/p/w500/wAgWv9Je8l2b8Yg8lZobYqT6cOd.jpg,6.5,2.2602,MOVIE
가위,"대학에서 심리학을 전공하고 대학원을 준비하고 있는 혜진. 어느날 그녀의 아파트에 대학친구 선애가 찾아온다. 이민갔던 그녀의 돌연한 방문에 혜진은 당황하지만 더욱 놀라운 것은 그녀의 변화한 모습이었다. 두려움에 떨며 누군가에게 쫓기고 있다고 매달리는 선애. 대학시절 선애와 혜진은 어 퓨 굿 맨이란 그룹의 멤버였는데, 이 그룹에는 사법고시에 패스한 수재 정욱, 캠퍼스 최고의 미녀 미령, 감독 지망생인 세훈 그리고 대학 야구 간판타자인 현준 등으로 구성되어 아름다운 외모와 야심만만함으로 모두의 선망의 대상이었다.",2000-07-29,97,"공포, 스릴러",https://image.tmdb.org/t/p/w500/2AGHdDChSy160kwW46Im9aDXjyi.jpg,4.674,2.0289,MOVIE
가을 우체국,인생의 2막을 준비하는 서른을 앞둔 ‘수련’. 오직 수련과의 결혼이 인생 목표인 ‘준’. 꿈 같은 미래를 준비하던 수련은 자신이 인생에 끝에 서 있다는 사실을 알게 된다. 조용히 삶을 정리하고 싶지만 ‘준’ 만은 수련의 뜻대로 되지 않는데……,2017-10-19,84,"로맨스, 드라마",https://image.tmdb.org/t/p/w500/tZsNiB7lMBUmmidbrW5jogtMkdO.jpg,5.2,0.8903,MOVIE
가을로,"사법고시에 합격한 현우. 오랜 연인이었던 민주를 낯선 아파트로 초대한다. 의아해 하는 민주, 그때 울리는 벨소리. 그리고 장미꽃다발을 들고 있는 현우. “사랑한다...영원히 지켜줄게. 나랑 결혼해줄래?” 수줍은 그의 청혼에 민주는 행복해 한다. 그러나 햇살이 유난히 강하던 봄날. 결혼 준비를 위해 쇼핑을 함께 하기로 한 두 사람. 갑자기 급한 일이 생긴 현우는 혼자 가기 싫어하는 민주를 억지로 백화점으로 보낸다. 급하게 일을 마친 후 허둥지둥 달려가던 현우. 횡단보도를 건너 민주가 기다리는 백화점으로 가려는 찰나...“쿵!” 거대한 건물 두 채가 완전히 무너져내린다. 거짓말처럼...",2006-10-26,108,"로맨스, 드라마",https://image.tmdb.org/t/p/w500/hvYUVMUHVhmcIQdpHm2LNIPAbyi.jpg,6.3,2.0298,MOVIE
가장 보통의 연애,"헤어진 여친에 미련을 못 버린 ‘재훈’. 여느 때처럼 숙취로 시작한 아침, 모르는 번호의 누군가와 밤새 2시간이나 통화한 기록을 발견하게 되고 그 상대가 바로! 통성명한지 24시간도 채 되지 않은 직장 동료 ‘선영’임을 알게 된다. 남친과 뒤끝 있는 이별 중인 ‘선영’. 새로운 회사로 출근한 첫날, 할말 못할 말 쏟아내며 남친과 헤어지던 현장에 하필이면! 같은 직장의 ‘재훈’이 있던 것을 알게 된다. 만난지 하루만에 일보다 서로의 연애사를 더 잘 알게 된 두 사람. 하지만 미묘한 긴장과 어색함도 잠시 ‘한심하다’, ‘어이없다’ 부딪히면서도 마음이 쓰이는 건 왜 그럴까?",2019-10-02,109,"로맨스, 코미디",https://image.tmdb.org/t/p/w500/xMff9rPyyhAaRomYSYKUxQo7nQG.jpg,6.739,2.169,MOVIE
가족,"나에겐 식구가 둘 있다. 아빠, 그리고 10살 박이 남동생 정환이…엄마는 정환이가 네 살 때 돌아가셨다. 난 처음부터 아빠의 딸이길, 이 집에 태어나길 원치 않았다. 교도소에서 지내는 동안, 자유로움은 없었지만 집에서 해방될 수 있어 좋았다. 하지만, 날 기다리고 있을 정환이를 생각하면 맘이 설레인다. 집에 가긴 가야 하는데, 가장 맘에 걸리는 건 바로 아.버.지.다.",2004-09-15,95,"드라마, 가족",https://image.tmdb.org/t/p/w500/aD5aMmxmfEuxzAC1an7106nKVPc.jpg,6.3,0.9501,MOVIE
